trajectory,model,loc,min,max,mean,median,std,rmse,sse
seq_01,FCNN,mapping,0.028364398829307177,3.2086121034323,0.6035957987291068,0.49768126801150925,0.4637983536002683,0.7612074625525869,283.92403251241655
seq_01,FCNN,0,0.007318416712938889,2.4151247768811315,0.5484564073508614,0.4708633792662465,0.35754327780858114,0.654707282890849,1203.6256865670534
seq_01,GBR,mapping,0.00988412211646922,1.6200156361536306,0.23261231952856062,0.16128194127518625,0.22893492793312406,0.3263735473720287,52.19464928785892
seq_01,GBR,0,0.009429951139347671,13.585173392228254,0.47017819981201026,0.3703581272253369,0.5514130946342528,0.7246543593414629,1474.5480249593418
seq_01,RFR,mapping,0.008873559656404155,4.4619648202183,0.5649241184507137,0.4060699802803892,0.5225285057731865,0.7695292710175976,290.1658964869088
seq_01,RFR,0,0.008782716095633749,4.646787395889942,0.5974693711531767,0.4539519621670032,0.5390682863205917,0.8047137794165027,1818.3604611260794
seq_01,SVR,mapping,0.8187041985413566,12.40462857332482,6.348617809608317,6.3238021724432825,2.9094385658645368,6.983536415099145,23897.192621897753
seq_01,SVR,0,0.7894537563537252,12.401749827105428,6.245030553856867,6.204967405102,2.904672640530858,6.887490817943376,133204.5835864501
seq_01,UMEYAMA,mapping,0.9001769864046966,50.37041814150191,15.239664024268455,14.911404059830028,10.235925803977036,18.358146329003514,165140.55295218152
seq_01,UMEYAMA,0,0.8937964596801783,50.374602300164966,15.397278839861698,13.656906786295782,11.486936371015604,19.210046925091408,1036224.7352427125
seq_02,FCNN,mapping,0.014053007221321502,11.426257263489164,1.6091042668816584,1.3693274782572853,1.1239461044836305,1.9627713538465679,5455.099484672655
seq_02,FCNN,0,0.022196074594077787,9.407594026952312,1.8635564197304255,1.4953211572792633,1.2628047042371044,2.2511148905735228,65355.78287749609
seq_02,FCNN,1,0.3274532714828003,2.749449755329538,1.5713423264609367,1.4030741878001143,0.5984764445285522,1.6814549537775927,1345.7904025136063
seq_02,FCNN,2,0.1116089076145003,4.313919528173241,1.6885793469157668,1.5243455357337532,0.9201339997551785,1.9230046251467885,15538.772404587624
